"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"17","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"19","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"22","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"30","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"37","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"43","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"47","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"48","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"49","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"46","2","The variable 'pctFree' is assigned but never used.","$pctFree","PSUseDeclaredVarsMoreThanAssignments","Warning","Get-HypervHealth.p1.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.ps1","pctFree",,"False"
"25","23","'%' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","%","PSAvoidUsingCmdletAliases","Warning","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1","%","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"17","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"20","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"23","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"26","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"30","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"31","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"29","2","The variable 'pctFree' is assigned but never used.","$pctFree","PSUseDeclaredVarsMoreThanAssignments","Warning","Get-HypervHealth.p1.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.p1.TempPoint.ps1","pctFree",,"False"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
